words	nodeTypes	synsetCount	units
wink	NOUN	7	batmanforever
suspense	NOUN	3	batmanforever
death	NOUN	8	batmanforever
lease	NOUN	7	batmanforever
life	NOUN	14	batmanforever
man	NOUN	13	batmanforever
moment	NOUN	6	batmanforever
face	NOUN	22	batmanforever
foot	NOUN	14	batmanforever
side	NOUN	14	batmanforever
face	NOUN	22	batmanforever
luck	NOUN	3	batmanforever
day	NOUN	10	batmanforever
relief	NOUN	11	batmanforever
thug	NOUN	1	batmanforever
face	NOUN	22	batmanforever
jacket	NOUN	7	batmanforever
pillow	NOUN	2	batmanforever
head	NOUN	42	batmanforever
crook	NOUN	4	batmanforever
world	NOUN	9	batmanforever
face	NOUN	22	batmanforever
floor	NOUN	12	batmanforever
thank	NOUN	1	batmanforever
face	NOUN	22	batmanforever
face	NOUN	22	batmanforever
sandwich	NOUN	3	batmanforever
drink	NOUN	10	batmanforever
trouble	NOUN	11	batmanforever
share	NOUN	10	batmanforever
tonight	NOUN	2	batmanforever
haul	NOUN	4	batmanforever
thug	NOUN	1	batmanforever
face	NOUN	22	batmanforever
cryin	NOUN	0	batmanforever
face	NOUN	22	batmanforever
vengeance	NOUN	1	batmanforever
hand	NOUN	16	batmanforever
fellow	NOUN	7	batmanforever
throat	NOUN	4	batmanforever
wall	NOUN	9	batmanforever
face	NOUN	22	batmanforever
opinion	NOUN	6	batmanforever
coin	NOUN	3	batmanforever
verdict	NOUN	1	batmanforever
man	NOUN	13	batmanforever
family	NOUN	8	batmanforever
care	NOUN	11	batmanforever
problem	NOUN	3	batmanforever
time	NOUN	15	batmanforever
half	NOUN	6	batmanforever
face	NOUN	22	batmanforever
acid	NOUN	5	batmanforever
mutilation	NOUN	1	batmanforever
flesh	NOUN	4	batmanforever
thug	NOUN	1	batmanforever
spot	NOUN	20	batmanforever
swat	NOUN	2	batmanforever
team	NOUN	3	batmanforever
Police	NOUN	2	batmanforever
wagon	NOUN	5	batmanforever
50	NOUN	2	batmanforever
man	NOUN	13	batmanforever
pain	NOUN	7	batmanforever
lifetime	NOUN	1	batmanforever
trademark	NOUN	4	batmanforever
trenchcoat	NOUN	0	batmanforever
cigarette	NOUN	1	batmanforever
woman	NOUN	4	batmanforever
stop	NOUN	22	batmanforever
pedestrian	NOUN	2	batmanforever
bridge	NOUN	12	batmanforever
moment	NOUN	6	batmanforever
shape	NOUN	11	batmanforever
cape	NOUN	2	batmanforever
spotlight	NOUN	4	batmanforever
land	NOUN	18	batmanforever
face	NOUN	22	batmanforever
entrance	NOUN	5	batmanforever
business	NOUN	9	batmanforever
face	NOUN	22	batmanforever
guard	NOUN	14	batmanforever
hostage	NOUN	1	batmanforever
one	NOUN	9	batmanforever
man	NOUN	13	batmanforever
dollar	NOUN	4	batmanforever
_	NOUN	0	batmanforever
22nd	NOUN	1	batmanforever
_	NOUN	0	batmanforever
two_-face	NOUN	0	batmanforever
hand	NOUN	16	batmanforever
case	NOUN	22	batmanforever
personality	NOUN	2	batmanforever
psychology	NOUN	1	batmanforever
poster	NOUN	3	batmanforever
child	NOUN	4	batmanforever
work	NOUN	34	batmanforever
girl	NOUN	5	batmanforever
hero	NOUN	7	batmanforever
night	NOUN	8	batmanforever
table	NOUN	8	batmanforever
insight	NOUN	4	batmanforever
hell	NOUN	6	batmanforever
paper	NOUN	9	batmanforever
man	NOUN	13	batmanforever
dress	NOUN	21	batmanforever
rodent	NOUN	1	batmanforever
bat	NOUN	10	batmanforever
rodent	NOUN	1	batmanforever
way	NOUN	13	batmanforever
name	NOUN	15	batmanforever
bat	NOUN	10	batmanforever
murderer	NOUN	1	batmanforever
night	NOUN	8	batmanforever
race	NOUN	10	batmanforever
skyscraper	NOUN	1	batmanforever
crane	NOUN	6	batmanforever
wrecking	NOUN	3	batmanforever
ball	NOUN	13	batmanforever
bank	NOUN	18	batmanforever
building	NOUN	14	batmanforever
wall	NOUN	9	batmanforever
face	NOUN	22	batmanforever
watch	NOUN	13	batmanforever
wrecking	NOUN	3	batmanforever
ball	NOUN	13	batmanforever
room	NOUN	5	batmanforever
inch	NOUN	3	batmanforever
villain	NOUN	2	batmanforever
face	NOUN	22	batmanforever
schedule	NOUN	4	batmanforever
man	NOUN	13	batmanforever
hole	NOUN	10	batmanforever
chain	NOUN	12	batmanforever
site	NOUN	4	batmanforever
chain	NOUN	12	batmanforever
story	NOUN	6	batmanforever
roof	NOUN	5	batmanforever
construction	NOUN	7	batmanforever
site	NOUN	4	batmanforever
chain	NOUN	12	batmanforever
helicopter	NOUN	1	batmanforever
construction	NOUN	7	batmanforever
site	NOUN	4	batmanforever
steel	NOUN	5	batmanforever
beam	NOUN	13	batmanforever
rotor	NOUN	3	batmanforever
winch	NOUN	2	batmanforever
chain	NOUN	12	batmanforever
pulley	NOUN	1	batmanforever
cargo	NOUN	1	batmanforever
hatch	NOUN	8	batmanforever
floor	NOUN	12	batmanforever
window	NOUN	8	batmanforever
thug	NOUN	1	batmanforever
bait	NOUN	5	batmanforever
coin	NOUN	3	batmanforever
coin	NOUN	3	batmanforever
face	NOUN	22	batmanforever
mid	NOUN	1	batmanforever
-	NOUN	0	batmanforever
air	NOUN	15	batmanforever
wrist	NOUN	1	batmanforever
side	NOUN	14	batmanforever
side	NOUN	14	batmanforever
evil	NOUN	6	batmanforever
face	NOUN	22	batmanforever
chain	NOUN	12	batmanforever
safe	NOUN	7	batmanforever
hole	NOUN	10	batmanforever
wall	NOUN	9	batmanforever
thug	NOUN	1	batmanforever
gesture	NOUN	4	batmanforever
floor	NOUN	12	batmanforever
thug	NOUN	1	batmanforever
gun	NOUN	8	batmanforever
waistband	NOUN	1	batmanforever
face	NOUN	22	batmanforever
cross	NOUN	16	batmanforever
elevator	NOUN	2	batmanforever
machine	NOUN	8	batmanforever
gun	NOUN	8	batmanforever
armor	NOUN	4	batmanforever
bullet	NOUN	3	batmanforever
hole	NOUN	10	batmanforever
metal	NOUN	4	batmanforever
door	NOUN	5	batmanforever
floor	NOUN	12	batmanforever
clamp	NOUN	3	batmanforever
bat	NOUN	10	batmanforever
cable	NOUN	8	batmanforever
clamp	NOUN	3	batmanforever
hook	NOUN	20	batmanforever
wrist	NOUN	1	batmanforever
binding	NOUN	16	batmanforever
magazine	NOUN	6	batmanforever
Re	NOUN	3	batmanforever
-	NOUN	0	batmanforever
load	NOUN	14	batmanforever
water	NOUN	10	batmanforever
fine	NOUN	10	batmanforever
elevator	NOUN	2	batmanforever
door	NOUN	5	batmanforever
slide	NOUN	10	batmanforever
elevator	NOUN	2	batmanforever
skylight	NOUN	1	batmanforever
rain	NOUN	4	batmanforever
glass	NOUN	12	batmanforever
floor	NOUN	12	batmanforever
end	NOUN	18	batmanforever
rooftop	NOUN	1	batmanforever
fire	NOUN	18	batmanforever
door	NOUN	5	batmanforever
swat	NOUN	2	batmanforever
team	NOUN	3	batmanforever
bear	NOUN	15	batmanforever
face	NOUN	22	batmanforever
guest	NOUN	4	batmanforever
list	NOUN	7	batmanforever
mind	NOUN	13	batmanforever
party	NOUN	6	batmanforever
face	NOUN	22	batmanforever
smoke	NOUN	10	batmanforever
grenade	NOUN	1	batmanforever
hole	NOUN	10	batmanforever
wall	NOUN	9	batmanforever
thug	NOUN	1	batmanforever
site	NOUN	4	batmanforever
thug	NOUN	1	batmanforever
hole	NOUN	10	batmanforever
springboard	NOUN	2	batmanforever
gap	NOUN	7	batmanforever
roll	NOUN	33	batmanforever
safety	NOUN	6	batmanforever
construction	NOUN	7	batmanforever
site	NOUN	4	batmanforever
door	NOUN	5	batmanforever
beam	NOUN	13	batmanforever
girder	NOUN	1	batmanforever
race	NOUN	10	batmanforever
smoke	NOUN	10	batmanforever
pursuit	NOUN	4	batmanforever
edge	NOUN	10	batmanforever
precipice	NOUN	1	batmanforever
springboard	NOUN	2	batmanforever
cop	NOUN	3	batmanforever
gap	NOUN	7	batmanforever
wing	NOUN	12	batmanforever
smoke	NOUN	10	batmanforever
abyss	NOUN	1	batmanforever
fire	NOUN	18	batmanforever
figure	NOUN	18	batmanforever
land	NOUN	18	batmanforever
chest	NOUN	4	batmanforever
floor	NOUN	12	batmanforever
bullet	NOUN	3	batmanforever
girder	NOUN	1	batmanforever
head	NOUN	42	batmanforever
angle	NOUN	8	batmanforever
wrecking	NOUN	3	batmanforever
ball	NOUN	13	batmanforever
scaffolding	NOUN	2	batmanforever
lead	NOUN	31	batmanforever
gantry	NOUN	1	batmanforever
thug	NOUN	1	batmanforever
roof	NOUN	5	batmanforever
bat	NOUN	10	batmanforever
clamp	NOUN	3	batmanforever
bite	NOUN	13	batmanforever
base	NOUN	30	batmanforever
gantry	NOUN	1	batmanforever
launcher	NOUN	2	batmanforever
winch	NOUN	2	batmanforever
mode	NOUN	6	batmanforever
gantry	NOUN	1	batmanforever
shadow	NOUN	12	batmanforever
hand	NOUN	16	batmanforever
gantry	NOUN	1	batmanforever
range	NOUN	17	batmanforever
boot	NOUN	9	batmanforever
